2025-07-30 01:59:15.020 | INFO     | __main__:get_school_info:65 - 第35页数据插入成功，插入30条数据
2025-07-30 01:59:15.330 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:15.450 | INFO     | __main__:get_school_info:65 - 第36页数据插入成功，插入30条数据
2025-07-30 01:59:15.767 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:15.884 | INFO     | __main__:get_school_info:65 - 第37页数据插入成功，插入30条数据
2025-07-30 01:59:16.216 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:16.336 | INFO     | __main__:get_school_info:65 - 第38页数据插入成功，插入30条数据
2025-07-30 01:59:16.674 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:16.796 | INFO     | __main__:get_school_info:65 - 第39页数据插入成功，插入30条数据
2025-07-30 01:59:17.118 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:17.245 | INFO     | __main__:get_school_info:65 - 第40页数据插入成功，插入30条数据
2025-07-30 01:59:17.601 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:17.732 | INFO     | __main__:get_school_info:65 - 第41页数据插入成功，插入30条数据
2025-07-30 01:59:18.049 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:18.210 | INFO     | __main__:get_school_info:65 - 第42页数据插入成功，插入30条数据
2025-07-30 01:59:18.536 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:18.669 | INFO     | __main__:get_school_info:65 - 第43页数据插入成功，插入30条数据
2025-07-30 01:59:18.993 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:19.135 | INFO     | __main__:get_school_info:65 - 第44页数据插入成功，插入30条数据
2025-07-30 01:59:19.478 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:19.624 | INFO     | __main__:get_school_info:65 - 第45页数据插入成功，插入30条数据
